ticker,n_trades,n_years,win_rate,win_rate_target,win_rate_target_robust,pct_exit_take,pct_exit_stop,pct_exit_time,ret_total,ret_ann_pct,bh_ann_pct,alpha_ann_pp,mdd_pct,sharpe,big_wins_pct,big_losses_pct,wr_non_target_pp,wr_non_target_robust_pp
KNSC11.SA,103,26.8,64.08,75.73,75.73,75.73,24.27,0.0,-0.0596,-0.23,1.63,-1.86,10.41,-0.297,0.0,2.91,-11.650000000000006,-11.650000000000006
ITSA4.SA,36,26.8,63.89,61.11,61.11,61.11,38.89,0.0,0.0293,0.11,11.87,-11.76,16.35,-0.03,2.78,22.22,2.780000000000001,2.780000000000001
GGRC11.SA,138,26.8,63.77,71.74,71.74,71.74,28.26,0.0,-0.0396,-0.15,1.06,-1.21,12.06,-0.25,0.0,7.25,-7.969999999999992,-7.969999999999992
LAVV3.SA,22,26.8,63.64,59.09,59.09,59.09,40.91,0.0,0.001,0.0,4.1,-4.09,12.99,-0.12,0.0,27.27,4.549999999999997,4.549999999999997
EZTC3.SA,41,26.8,63.41,60.98,60.98,60.98,39.02,0.0,0.3076,1.01,6.23,-5.23,13.06,0.147,2.44,29.27,2.4299999999999997,2.4299999999999997
POMO4.SA,68,26.8,63.24,57.35,57.35,57.35,42.65,0.0,0.479,1.47,12.15,-10.67,14.54,0.225,5.88,23.53,5.890000000000001,5.890000000000001
VBBR3.SA,27,26.8,62.96,55.56,55.56,55.56,44.44,0.0,0.1089,0.39,3.54,-3.15,12.83,0.065,7.41,33.33,7.399999999999999,7.399999999999999
PVBI11.SA,126,26.8,62.7,67.46,67.46,67.46,32.54,0.0,0.0189,0.07,0.5,-0.43,10.16,-0.134,0.0,8.73,-4.759999999999991,-4.759999999999991
SOL-USD,8,26.8,62.5,25.0,25.0,25.0,75.0,0.0,-0.1235,-0.49,18.46,-18.95,28.25,-0.036,50.0,37.5,37.5,37.5
IGTI11.SA,64,26.8,62.5,59.38,59.38,59.38,40.62,0.0,0.2686,0.89,1.55,-0.66,12.66,0.155,1.56,23.44,3.1199999999999974,3.1199999999999974
RAIL3.SA,29,26.8,62.07,48.28,48.28,48.28,51.72,0.0,0.1186,0.42,-0.05,0.47,15.64,0.039,3.45,34.48,13.79,13.79
MGLU3.SA,60,26.8,61.67,55.0,55.0,55.0,45.0,0.0,0.3234,1.05,2.61,-1.56,14.75,0.122,3.33,36.67,6.670000000000002,6.670000000000002
CPFE3.SA,39,26.8,61.54,58.97,58.97,58.97,41.03,0.0,-0.0276,-0.1,10.86,-10.96,15.93,-0.115,2.56,33.33,2.5700000000000003,2.5700000000000003
HGBS11.SA,241,26.8,61.0,72.2,72.2,72.2,27.8,0.0,0.309,1.01,1.48,-0.47,10.86,0.015,0.0,4.15,-11.200000000000003,-11.200000000000003
