Date,ticker,close,signal_eod,score_100,confidence,best_buy_value,stop_loss,stop_pct,take_profit,take_pct,exit_rules,Channel Breakout_last5d,Channel Breakout_last20d,Double Top/Bottom_last5d,Double Top/Bottom_last20d,Head & Shoulders_last5d,Head & Shoulders_last20d,Triangle Breakout_last5d,Triangle Breakout_last20d,Wedge Breakout_last5d,Wedge Breakout_last20d,RSI_status,SMA_Cross_last5d
2026-03-17,RAIZ4.SA,0.61,hold,15.5,74.4,0.5841,0.4857,20.38,0.7343,20.38,"Stop: -20.4% (2.0xATR, breakeven); Take: +20.4% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,---,---,---,---,BULL(1d),BULL(2d),MIXED(B4/S2),BULL(1d),MIXED(B1/S1),NEUTRAL(47),---
2026-03-17,BTC-USD,73922.4766,hold,87.7,74.2,72718.0261,68208.9509,7.73,79636.0022,7.73,"Stop: -7.7% (2.0xATR, breakeven); Take: +7.7% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(3d),BULL(7d),BULL(1d),MIXED(B2/S1),---,MIXED(B2/S2),BULL(3d),BULL(11d),BULL(3d),BULL(10d),NEUTRAL(52),---
2026-03-17,CVCB3.SA,1.94,hold,2.6,73.5,1.8992,1.7386,10.38,2.1414,10.38,"Stop: -10.4% (2.0xATR, breakeven); Take: +10.4% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(1d),---,BULL(1d),---,BULL(1d),BULL(1d),BULL(4d),---,BULL(1d),NEUTRAL(33),---
2026-03-17,BEEF3.SA,4.36,hold,3.4,73.4,4.2924,4.03,7.57,4.69,7.57,"Stop: -7.6% (2.0xATR, breakeven); Take: +7.6% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(2d),---,---,---,---,BULL(1d),BULL(3d),BULL(2d),BULL(2d),OVERSOLD(18),---
2026-03-17,VALE3.SA,78.96,hold,5.4,73.2,77.918,73.9029,6.4,84.0171,6.4,"Stop: -6.4% (2.0xATR, breakeven); Take: +6.4% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(3d),BEAR(1d),MIXED(B3/S2),---,BULL(2d),BULL(2d),BULL(4d),BULL(1d),BULL(3d),OVERSOLD(30),---
2026-03-17,TGMA3.SA,29.88,hold,11.7,73.0,29.2566,26.9043,9.96,32.8557,9.96,"Stop: -10.0% (2.0xATR, breakeven); Take: +10.0% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,---,---,BEAR(1d),---,---,BULL(1d),MIXED(B4/S2),---,---,OVERSOLD(9),---
2026-03-17,KNRI11.SA,164.68,hold,13.1,73.0,163.9152,161.0928,2.18,168.2671,2.18,"Stop: -2.2% (2.0xATR, breakeven); Take: +2.2% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(4d),---,MIXED(B3/S2),---,BULL(1d),---,MIXED(B4/S1),---,BULL(4d),NEUTRAL(42),---
2026-03-17,BPAC11.SA,56.1,hold,18.3,72.7,55.0821,51.2986,8.56,60.9014,8.56,"Stop: -8.6% (2.0xATR, breakeven); Take: +8.6% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(5d),---,BULL(1d),---,MIXED(B1/S1),BULL(2d),BULL(6d),BULL(1d),BULL(5d),NEUTRAL(39),---
2026-03-17,CSMG3.SA,54.57,hold,16.9,72.1,53.7603,50.8043,6.9,58.3357,6.9,"Stop: -6.9% (2.0xATR, breakeven); Take: +6.9% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(5d),---,MIXED(B2/S2),---,---,BULL(2d),BULL(7d),BULL(2d),BULL(5d),NEUTRAL(53),SMA20x50:DEATH
2026-03-17,LAVV3.SA,15.02,hold,33.9,71.5,14.7344,13.6943,8.83,16.3457,8.83,"Stop: -8.8% (2.0xATR, breakeven); Take: +8.8% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(3d),---,MIXED(B1/S2),---,BULL(1d),BULL(1d),BULL(3d),---,BULL(3d),OVERSOLD(15),SMA20x50:DEATH
